meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,pg,"[1, 2, 3]",Normal,"[0.0, 0.0, 0.0]","[0.001, 0.001, 0.001]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[0.0, 0.0, 0.0]","[0.001, 0.001, 0.001]"
3,bus,30,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
4,bus,30,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
5,load,4,G,pd,2,Normal,-1.5617294599999989e-6,0.001
6,load,4,G,qd,2,Normal,-2.1283191441640305e-6,0.001
7,bus,25,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
8,bus,25,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
9,load,1,G,pd,2,Normal,-6.124864729999999e-6,0.001
10,load,1,G,qd,2,Normal,-2.7328230372540675e-6,0.001
11,bus,28,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
12,bus,28,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
13,load,12,G,pd,2,Normal,-8.71572946e-6,0.001
14,load,12,G,qd,2,Normal,-4.362154928191138e-6,0.001
15,bus,19,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
16,bus,19,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
17,load,20,G,pd,3,Normal,-4.54486473e-6,0.001
18,load,20,G,qd,3,Normal,-2.239468195380594e-6,0.001
19,bus,14,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
20,bus,14,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
21,load,2,G,pd,2,Normal,2.0396419090000004e-5,0.001
22,load,2,G,qd,2,Normal,5.343361522025696e-6,0.001
23,bus,23,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
24,bus,23,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
25,load,6,G,pd,2,Normal,-1.066972946e-5,0.001
26,load,6,G,qd,2,Normal,-4.9722912326346625e-6,0.001
27,bus,20,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
28,bus,20,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
29,load,11,G,pd,2,Normal,-9.412297100000001e-6,0.001
30,load,11,G,qd,2,Normal,-4.169490785542534e-6,0.001
31,bus,4,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
32,bus,4,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
33,load,13,G,pd,1,Normal,-1.643108e-6,0.001
34,load,13,G,qd,1,Normal,-1.1576089526622288e-6,0.001
35,bus,8,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
36,bus,8,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
37,load,5,G,pd,2,Normal,-1.163972946e-5,0.001
38,load,5,G,qd,2,Normal,-5.275173635556985e-6,0.001
39,bus,29,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
40,bus,29,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
41,load,15,G,pd,1,Normal,-9.5222971e-6,0.001
42,load,15,G,qd,1,Normal,-4.203838274533726e-6,0.001
43,bus,27,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
44,bus,27,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844387, 0.8660254037844386]","[0.001, 0.001, 0.001]"
