meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,pg,"[1, 2, 3]",Normal,"[-6.401518766985407e-5, -4.0477390039943125e-5, -3.703563402009393e-5]","[0.001, 0.001, 0.001]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[-2.9246798289967967e-5, -2.3918662265674792e-5, -1.833213378167684e-5]","[0.001, 0.001, 0.001]"
3,bus,30,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
4,bus,30,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.8660254037844388, 0.8660254037844386]","[0.001, 0.001, 0.001]"
5,load,4,G,pd,2,Normal,-1.5617294599999989e-6,0.001
6,load,4,G,qd,2,Normal,-2.1283191441640305e-6,0.001
7,bus,25,G,vr,"[1, 2, 3]",Normal,"[1.001352965957254, -0.4998062592878857, -0.5000950278621751]","[0.001, 0.001, 0.001]"
8,bus,25,G,vi,"[1, 2, 3]",Normal,"[0.00046768185844306686, -0.8664935395372805, 0.8665225513283509]","[0.001, 0.001, 0.001]"
9,load,1,G,pd,2,Normal,-6.124864729999999e-6,0.001
10,load,1,G,qd,2,Normal,-2.7328230372540675e-6,0.001
11,bus,28,G,vr,"[1, 2, 3]",Normal,"[1.0013460523461142, -0.5000482870966411, -0.5001019414733147]","[0.001, 0.001, 0.001]"
12,bus,28,G,vi,"[1, 2, 3]",Normal,"[0.0004618692831649839, -0.8667249900809703, 0.8665167387530729]","[0.001, 0.001, 0.001]"
13,load,12,G,pd,2,Normal,-8.71572946e-6,0.001
14,load,12,G,qd,2,Normal,-4.362154928191138e-6,0.001
15,bus,19,G,vr,"[1, 2, 3]",Normal,"[1.0013500777841429, -0.4999068143923649, -0.5000979160352862]","[0.001, 0.001, 0.001]"
16,bus,19,G,vi,"[1, 2, 3]",Normal,"[0.0004650205501597689, -0.8665988529140358, 0.8665198900200676]","[0.001, 0.001, 0.001]"
17,load,20,G,pd,3,Normal,-4.54486473e-6,0.001
18,load,20,G,qd,3,Normal,-2.239468195380594e-6,0.001
19,bus,14,G,vr,"[1, 2, 3]",Normal,"[1.0013541665143664, -0.499755914880009, -0.5001063880240241]","[0.001, 0.001, 0.001]"
20,bus,14,G,vi,"[1, 2, 3]",Normal,"[0.000470482248419615, -0.8664820408453635, 0.8666203127758991]","[0.001, 0.001, 0.001]"
21,load,2,G,pd,2,Normal,2.0396419090000004e-5,0.001
22,load,2,G,qd,2,Normal,5.343361522025696e-6,0.001
23,bus,23,G,vr,"[1, 2, 3]",Normal,"[1.0013621099894183, -0.4994869073780884, -0.5000858838300105]","[0.001, 0.001, 0.001]"
24,bus,23,G,vi,"[1, 2, 3]",Normal,"[0.00047568914970482526, -0.8661755984043655, 0.8665305586196126]","[0.001, 0.001, 0.001]"
