meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,pg,"[1, 2, 3]",Normal,"[0.0200723, 0.0144029, 0.0145909]","[0.005, 0.005, 0.005]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[0.00781271, 0.00587261, 0.00281309]","[0.005, 0.005, 0.005]"
3,load,32,G,pd,1,Normal,0.000229,0.001
4,load,32,G,qd,1,Normal,7.526866008595967e-5,0.001
5,load,29,G,pd,3,Normal,0.00023200000000000003,0.001
6,load,29,G,qd,3,Normal,7.625471240149627e-5,0.001
7,load,1,G,pd,1,Normal,0.000701,0.001
8,load,1,G,qd,1,Normal,0.0002304075577303831,0.001
9,load,54,G,pd,1,Normal,0.004888,0.001
10,load,54,G,qd,1,Normal,0.0016066079061142833,0.001
11,load,2,G,pd,3,Normal,0.009584,0.001
12,load,2,G,qd,3,Normal,0.0031501084640342247,0.001
13,load,41,G,pd,3,Normal,0.0005340000000000001,0.001
14,load,41,G,qd,3,Normal,0.00017551731216551298,0.001
15,load,51,G,pd,3,Normal,0.00021,0.001
16,load,51,G,qd,3,Normal,6.902366208756128e-5,0.001
17,load,53,G,pd,2,Normal,0.005471,0.001
18,load,53,G,qd,2,Normal,0.0017982307394335607,0.001
19,load,27,G,pd,1,Normal,0.00044500000000000003,0.001
20,load,27,G,qd,1,Normal,0.00014626442680459412,0.001
21,load,42,G,pd,2,Normal,0.000648,0.001
22,load,42,G,qd,2,Normal,0.00021298730015590337,0.001
23,load,33,G,pd,1,Normal,0.000435,0.001
24,load,33,G,qd,1,Normal,0.0001429775857528055,0.001
25,load,28,G,pd,3,Normal,0.000878,0.001
26,load,28,G,qd,3,Normal,0.0002885846443470419,0.001
27,load,52,G,pd,1,Normal,0.00028599999999999996,0.001
28,load,52,G,qd,1,Normal,9.400365408115487e-5,0.001
29,load,50,G,pd,2,Normal,0.00032500000000000004,0.001
30,load,50,G,qd,2,Normal,0.00010682233418313055,0.001
31,load,26,G,pd,1,Normal,0.003247,0.001
32,load,26,G,qd,1,Normal,0.0010672372895157687,0.001
33,load,10,G,pd,3,Normal,0.000424,0.001
34,load,10,G,qd,3,Normal,0.000139362060595838,0.001
35,load,24,G,pd,3,Normal,0.000204,0.001
36,load,24,G,qd,3,Normal,6.70515574564881e-5,0.001
37,load,25,G,pd,3,Normal,0.000514,0.001
38,load,25,G,qd,3,Normal,0.0001689436300619357,0.001
39,load,23,G,pd,2,Normal,0.000223,0.001
40,load,23,G,qd,2,Normal,7.329655545488651e-5,0.001
41,load,49,G,pd,3,Normal,4.8e-5,0.001
42,load,49,G,qd,3,Normal,1.5776837048585433e-5,0.001
