meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,bus,1,G,vi,"[1, 2, 3]",Normal,"[-0.00383937, -0.855831, 0.853741]","[0.0005, 0.0005, 0.0005]"
2,bus,2,G,vi,"[1, 2, 3]",Normal,"[0.000, -0.862475, 0.862475]","[0.0005, 0.0005, 0.0005]"
3,bus,3,G,vi,"[1, 2, 3]",Normal,"[-0.00814337, -0.848141, 0.843571]","[0.0005, 0.0005, 0.0005]"
4,bus,4,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.862475, 0.862475]","[0.0005, 0.0005, 0.0005]"
13,bus,1,G,vr,"[1, 2, 3]",Normal,"[0.98093, -0.496372, -0.49535]","[0.0005, 0.0005, 0.0005]"
14,bus,2,G,vr,"[1, 2, 3]",Normal,"[0.9959, -0.49795, -0.49795]","[0.0005, 0.0005, 0.0005]"
15,bus,3,G,vr,"[1, 2, 3]",Normal,"[0.963514, -0.494472, -0.492426]","[0.0005, 0.0005, 0.0005]"
16,bus,4,G,vr,"[1, 2, 3]",Normal,"[0.9959, -0.49795, -0.49795]","[0.0005, 0.0005, 0.0005]"
5,load,1,G,crd,2,Normal,-0.011436,0.002
6,load,1,G,cid,2,Normal,-0.00748133,0.002
7,load,2,G,crd,3,Normal,-0.000888476,0.002
8,load,2,G,cid,3,Normal,0.0137066,0.002
9,load,3,G,crd,1,Normal,0.0186277,0.002
10,load,3,G,cid,1,Normal,-0.00638466,0.002
11,gen,1,G,crg,"[1, 2, 3]",Normal,"[0.0186277, -0.01143305, -0.00089]","[0.001, 0.001, 0.001]"
12,gen,1,G,cig,"[1, 2, 3]",Normal,"[-0.0063813, -0.007483, 0.0137049]","[0.001, 0.001, 0.001]"
