meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,bus,1,G,vi,"[1, 2, 3]",Normal,"[-0.00383937, -0.855831, 0.853741]","[0.0005, 0.0005, 0.0005]"
2,bus,2,G,vi,"[1, 2, 3]",Normal,"[0.000, -0.862475, 0.862475]","[0.0005, 0.0005, 0.0005]"
3,bus,3,G,vi,"[1, 2, 3]",Normal,"[-0.00814337, -0.848141, 0.843571]","[0.0005, 0.0005, 0.0005]"
4,bus,4,G,vi,"[1, 2, 3]",Normal,"[0.0, -0.862475, 0.862475]","[0.0005, 0.0005, 0.0005]"
11,gen,1,G,pg,"[1, 2, 3]",Normal,"[0.018, 0.012, 0.012]","[0.001, 0.001, 0.001]"
12,gen,1,G,qg,"[1, 2, 3]",Normal,"[0.006, 0.006, 0.006]","[0.001, 0.001, 0.001]"
13,bus,1,G,vr,"[1, 2, 3]",Normal,"[0.98093, -0.496372, -0.49535]","[0.0005, 0.0005, 0.0005]"
14,bus,2,G,vr,"[1, 2, 3]",Normal,"[0.9959, -0.49795, -0.49795]","[0.0005, 0.0005, 0.0005]"
15,bus,3,G,vr,"[1, 2, 3]",Normal,"[0.963514, -0.494472, -0.492426]","[0.0005, 0.0005, 0.0005]"
16,bus,4,G,vr,"[1, 2, 3]",Normal,"[0.9959, -0.49795, -0.49795]","[0.0005, 0.0005, 0.0005]"
5,load,1,G,pd,2,Normal,0.012,0.002
6,load,1,G,qd,2,Normal,0.006,0.002
7,load,2,G,pd,3,Normal,0.012,0.002
8,load,2,G,qd,3,Normal,0.006,0.002
9,load,3,G,pd,1,Normal,0.018,0.002
10,load,3,G,qd,1,Normal,0.006,0.002
