meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,pg,"[1, 2, 3]",Normal,"[0.01855045423686137, 0.012147002973113783, 0.012263897860936207]","[0.001, 0.001, 0.001]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[0.006354627218270534, 0.006134440929223993, 0.006055610512518178]","[0.001, 0.001, 0.001]"
3,bus,4,G,vm,"[1, 2, 3]",Normal,"[0.9958999999999999, 0.9958999999999999, 0.9958999999999999]","[0.005, 0.005, 0.005]"
4,load,1,G,pd,2,Normal,0.012,0.001
5,load,1,G,qd,2,Normal,0.006,0.001
6,bus,3,G,vm,2,Normal,0.9817566083952078,0.005
7,load,2,G,pd,3,Normal,0.012,0.001
8,load,2,G,qd,3,Normal,0.006,0.001
9,bus,3,G,vm,3,Normal,0.9767784466759567,0.005
10,load,3,G,pd,1,Normal,0.018000000000000002,0.001
11,load,3,G,qd,1,Normal,0.006,0.001
12,bus,3,G,vm,1,Normal,0.9635478382264484,0.005
