meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,bus,1,G,w,"[1, 2, 3]",Normal,"[0.9636, 0.9787, 0.97409]","[0.0005, 0.0005, 0.0005]"
2,bus,2,G,w,"[1, 2, 3]",Normal,"[0.9919, 0.9919, 0.9919]","[0.0005, 0.0005, 0.0005]"
3,bus,3,G,w,"[1, 2, 3]",Normal,"[0.9304, 0.9638, 0.9544]","[0.0005, 0.0005, 0.0005]"
11,gen,1,G,pg,"[1, 2, 3]",Normal,"[9.28783, 6.32397, 6.41197]","[0.5, 0.5, 0.5]"
12,gen,1,G,qg,"[1, 2, 3]",Normal,"[3.1907, 3.2455, 3.14796]","[0.5, 0.5, 0.5]"
5,load,1,G,pd,2,Normal,6.0,1.0
6,load,1,G,qd,2,Normal,3.0,1.0
7,load,2,G,pd,3,Normal,6.0,1.0
8,load,2,G,qd,3,Normal,3.0,1.0
9,load,3,G,pd,1,Normal,9.0,1.0
10,load,3,G,qd,1,Normal,3.0,1.0
402,branch,2,G,p,"[1, 2, 3]",Normal,"[9.2878, 6.3240, 6.4120]", "[1.0, 1.0, 1.0]"
403,branch,2,G,q,"[1, 2, 3]",Normal,"[3.1907, 3.2455, 3.1480]", "[1.0, 1.0, 1.0]"
