meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,P,pg,"[1, 2, 3]",Normal,"[0.689284, 0.624078, 0.729419]","[0.001, 0.001, 0.001]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[0.157733, 0.0737424, 0.0592674]","[0.001, 0.001, 0.001]"
3,bus,40,P,vm,"[1, 2, 3]",Normal,"[1.0302643185501719, 1.0287327916060365, 1.0306965864268283]","[0.001, 0.001, 0.001]"
4,bus,29,G,vm,"[1, 2, 3]",Normal,"[0.9983470668250736, 1.006750873475325, 1.0022696875526191]","[0.001, 0.001, 0.001]"
5,bus,32,P,vm,"[1, 2, 3]",Normal,"[1.0347410772481962, 1.0334306354311769, 1.0348177947415493]","[0.001, 0.001, 0.001]"
6,bus,50,G,vm,"[1, 2, 3]",Normal,"[1.0304849598621266, 1.0291272757784302, 1.0308540359871525]","[0.001, 0.001, 0.001]"
7,bus,56,G,vm,"[1, 2, 3]",Normal,"[0.9999999999998348, 1.0285814736070915, 1.000000000000107]","[0.001, 0.001, 0.001]"
8,bus,30,G,vm,"[1, 2, 3]",Normal,"[1.0307934014857156, 1.0291018182265472, 1.0310635606095222]","[0.001, 0.001, 0.001]"
9,bus,6,G,vm,"[1, 2, 3]",Normal,"[1.0306545512887977, 1.0291645994572396, 1.0309558026824421]","[0.001, 0.001, 0.001]"
10,bus,25,P,vm,"[1, 2, 3]",Normal,"[0.9894327978668672, 0.9982633181301966, 0.9937370345388551]","[0.001, 0.001, 0.001]"
11,bus,44,P,vm,"[1, 2, 3]",Normal,"[1.0309548064513783, 1.0291743510380011, 1.0312804502759891]","[0.001, 0.001, 0.001]"
12,bus,48,P,vm,"[1, 2, 3]",Normal,"[1.0303373188263054, 1.0289189231704616, 1.0307507466872317]","[0.001, 0.001, 0.001]"
13,bus,4,G,vm,"[1, 2, 3]",Normal,"[0.9895092409942975, 1.0000000000000298, 0.9999999999999998]","[0.001, 0.001, 0.001]"
14,bus,48,P,vm,"[1, 2, 3]",Normal,"[1.0303373188263054, 1.0289189231704616, 1.0307507466872317]","[0.001, 0.001, 0.001]"
15,bus,25,P,vm,"[1, 2, 3]",Normal,"[0.9894327978668672, 0.9982633181301966, 0.9937370345388551]","[0.001, 0.001, 0.001]"
16,bus,14,P,vm,"[1, 2, 3]",Normal,"[1.0322316898672486, 1.0308852548131124, 1.0324401977136974]","[0.001, 0.001, 0.001]"
17,bus,35,G,vm,"[1, 2, 3]",Normal,"[1.0335851146114585, 1.000000000000073, 1.0000000000000842]","[0.001, 0.001, 0.001]"
18,bus,49,P,vm,"[1, 2, 3]",Normal,"[1.0126971941997545, 1.0205930835330193, 1.0157205993524818]","[0.001, 0.001, 0.001]"
19,bus,46,P,vm,"[1, 2, 3]",Normal,"[1.030639012422783, 1.0293247634638893, 1.0309753706611913]","[0.001, 0.001, 0.001]"
20,bus,30,G,vm,"[1, 2, 3]",Normal,"[1.0307934014857156, 1.0291018182265472, 1.0310635606095222]","[0.001, 0.001, 0.001]"
21,bus,14,P,vm,"[1, 2, 3]",Normal,"[1.0322316898672486, 1.0308852548131124, 1.0324401977136974]","[0.001, 0.001, 0.001]"
22,bus,21,G,vm,"[1, 2, 3]",Normal,"[1.0465977799677388, 1.0479004686212356, 1.0479080374081602]","[0.001, 0.001, 0.001]"
23,bus,14,P,vm,"[1, 2, 3]",Normal,"[1.0322316898672486, 1.0308852548131124, 1.0324401977136974]","[0.001, 0.001, 0.001]"
24,bus,17,G,vm,"[1, 2, 3]",Normal,"[1.0, 0.9977345587228006, 1.0000000000000275]","[0.001, 0.001, 0.001]"
25,bus,34,G,vm,"[1, 2, 3]",Normal,"[1.0077836982406903, 1.015538458583031, 1.0111625528797021]","[0.001, 0.001, 0.001]"
26,bus,32,P,vm,"[1, 2, 3]",Normal,"[1.0347410772481962, 1.0334306354311769, 1.0348177947415493]","[0.001, 0.001, 0.001]"
27,bus,12,G,vm,"[1, 2, 3]",Normal,"[1.0000000000000002, 1.0294518228963723, 1.0]","[0.001, 0.001, 0.001]"
28,bus,38,G,vm,"[1, 2, 3]",Normal,"[1.0309357993675787, 1.029153681184464, 1.0312589073284175]","[0.001, 0.001, 0.001]"
29,bus,16,G,vm,"[1, 2, 3]",Normal,"[1.0000000000001064, 1.0156896019367398, 0.9999999999999175]","[0.001, 0.001, 0.001]"
30,bus,48,P,vm,"[1, 2, 3]",Normal,"[1.0303373188263054, 1.0289189231704616, 1.0307507466872317]","[0.001, 0.001, 0.001]"
31,bus,40,P,vm,"[1, 2, 3]",Normal,"[1.0302643185501719, 1.0287327916060365, 1.0306965864268283]","[0.001, 0.001, 0.001]"
32,bus,32,P,vm,"[1, 2, 3]",Normal,"[1.0347410772481962, 1.0334306354311769, 1.0348177947415493]","[0.001, 0.001, 0.001]"
